CurricularUnitID,StudentID,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations)
1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,6,6,6,14,0,0,6,6,6,13.67,0
3,3,0,6,0,0,0,0,0,6,0,0,0,0
4,4,0,6,8,6,13.43,0,0,6,10,5,12.40,0
5,5,0,6,9,5,12.33,0,0,6,6,6,13,0
6,6,0,5,10,5,11.86,0,0,5,17,5,11.50,5
7,7,0,7,9,7,13.30,0,0,8,8,8,14.35,0
8,8,0,5,5,0,0,0,0,5,5,0,0,0
9,9,0,6,8,6,13.88,0,0,6,7,6,14.14,0
10,10,0,6,9,5,11.40,0,0,6,14,2,13.50,0
11,11,0,6,6,6,12.33,0,0,6,7,5,14.20,0
12,12,0,8,8,7,13.21,0,0,8,8,7,13.21,0
13,13,0,6,6,0,0,0,0,6,0,0,0,0
14,14,0,6,7,6,10.57,0,0,6,8,5,11,0
15,15,0,5,7,4,13.25,0,0,5,5,5,12,0
16,16,0,6,6,5,13.20,0,0,6,7,0,0,0
17,17,0,6,10,1,12,0,0,6,14,2,11,0
18,18,0,7,8,7,13.31,0,0,8,8,8,14.55,0
19,19,0,5,8,4,12.50,1,0,5,8,4,12.25,2
20,20,0,7,7,6,11.67,0,0,7,8,6,13.50,0
21,21,0,0,0,0,0,0,0,0,0,0,0,0
22,22,0,7,14,7,11.44,0,0,8,9,8,11.43,0
23,23,0,8,12,7,12.86,0,0,8,12,7,12.86,0
24,24,0,6,8,6,13.38,0,0,6,7,6,12.29,0
25,25,0,7,8,6,13.30,0,0,8,9,7,14.11,0
26,26,0,6,8,5,11.60,0,0,6,12,4,11,0
27,27,0,6,9,6,11.38,0,0,6,9,6,13.29,0
28,28,0,5,9,5,12.67,2,0,5,7,4,13,0
29,29,0,5,6,5,12,0,0,5,6,5,12.33,0
30,30,0,7,9,6,12.93,0,0,7,7,6,13.72,0
31,31,0,6,15,5,11.86,0,0,6,17,5,10.57,0
32,32,2,6,7,6,12.83,0,0,6,9,4,13.40,0
33,33,0,5,9,3,11.33,0,0,5,8,2,13.50,0
34,34,0,6,6,6,12.67,0,0,6,8,6,14.38,0
35,35,0,5,6,5,12.40,0,0,5,9,5,13.43,0
36,36,0,7,7,0,0,0,0,7,7,1,10,0
37,37,0,5,0,0,0,0,0,5,0,0,0,0
38,38,0,5,10,1,10,0,0,5,8,2,12,2
39,39,0,5,8,5,11,0,0,5,5,5,11.60,0
40,40,2,6,13,3,11.67,0,1,6,11,3,12,0
41,41,0,6,6,4,12.75,0,0,5,5,0,0,0
42,42,0,5,5,5,14.80,0,0,5,5,5,15.80,0
43,43,0,7,9,5,13.93,0,0,8,9,7,14.34,0
44,44,0,6,7,4,13,0,0,6,7,5,13.80,0
45,45,0,5,0,0,0,0,0,5,0,0,0,0
46,46,0,5,9,2,11.50,0,0,5,11,3,14.33,1
47,47,0,6,6,6,11.67,0,0,6,8,5,13.20,0
48,48,0,7,8,6,13.52,0,0,8,9,7,13.77,0
49,49,3,6,6,6,11.50,0,2,6,7,6,13.29,0
50,50,0,6,7,5,12.33,0,0,6,7,6,12.83,0
51,51,0,6,6,6,13.67,0,0,6,6,6,14.17,0
