StudentID,MaritalStatusID,ApplicationModeID,ApplicationOrderID,CourseID,QualificationID,QualificationGrade,NationalityID,AdmissionGrade,Displaced,EducationalSpecialNeeds,Debtor,TuitionFeesUpToDate,GenderID,ScholarshipHolder,AgeAtEnrollment,International
1,1,17,5,171,1,122,1,127.30,1,0,0,1,1,0,20,0
2,1,15,1,9254,1,160,1,142.50,1,0,0,0,1,0,19,0
3,1,1,5,9070,1,122,1,124.80,1,0,0,0,1,0,19,0
4,1,17,2,9773,1,122,1,119.60,1,0,0,1,0,0,20,0
5,2,39,1,8014,1,100,1,141.50,0,0,0,1,0,0,45,0
6,2,39,1,9991,19,133.10,1,114.80,0,0,1,1,1,0,50,0
7,1,1,1,9500,1,142,1,128.40,1,0,0,1,0,1,18,0
8,1,18,4,9254,1,119,1,113.10,1,0,0,0,1,0,22,0
9,1,1,3,9238,1,137,62,129.30,0,0,0,1,0,1,21,1
10,1,1,1,9238,1,138,1,123,1,0,1,0,0,0,18,0
11,1,1,1,9670,1,139,1,130.60,1,0,0,1,0,0,18,0
12,1,1,1,9500,1,136,1,119.30,1,0,0,1,0,1,18,0
13,1,1,2,9853,1,133,1,130.20,1,0,0,1,0,0,19,0
14,1,53,1,9254,42,110,1,111.80,1,0,0,1,0,1,21,0
15,1,1,1,9085,1,149,1,137.10,1,0,0,1,0,1,18,0
16,1,1,1,9773,1,127,1,120.70,1,0,0,1,0,0,20,0
17,1,18,1,9238,1,137,1,137.40,1,0,0,1,0,0,18,0
18,1,17,2,9500,1,135,1,127.30,1,0,0,1,0,0,18,0
19,1,1,1,9130,1,137,1,136.30,1,0,0,1,0,0,20,0
20,1,1,1,9853,1,140,1,124.60,1,0,0,1,0,0,18,0
21,1,1,3,171,1,122,1,120.30,0,0,0,1,0,1,21,0
22,1,18,4,9556,1,127,1,121.80,1,0,0,1,0,0,20,0
23,1,1,4,9500,1,142,1,125.50,1,0,0,1,0,0,18,0
24,1,1,4,9670,1,125,1,114.90,1,0,0,1,0,1,19,0
25,1,1,1,9500,1,126,1,123.90,0,0,0,1,0,0,19,0
26,1,1,1,9238,1,151,1,157,1,0,1,1,0,1,18,0
27,1,17,2,9238,1,115,1,116.40,1,0,0,1,0,0,21,0
28,1,1,1,9085,1,138,1,131,1,0,0,1,0,0,18,0
29,1,1,1,9147,1,135,1,122.10,1,0,0,1,0,0,20,0
30,1,17,2,9500,1,127,1,118.80,1,0,0,1,1,0,19,0
31,1,44,1,9003,39,150,1,150,0,0,0,1,1,0,21,0
32,1,51,1,9070,1,125,1,130,1,0,0,1,1,0,20,0
33,1,1,1,9147,1,143,1,138.80,0,0,0,0,1,0,18,0
34,1,18,1,8014,1,138,1,134.50,1,0,0,1,0,0,19,0
35,1,1,1,9991,1,130,1,131.40,0,0,0,1,1,0,34,0
36,1,39,1,33,1,130,1,102.50,0,0,1,0,1,0,37,0
37,1,39,1,9119,10,133.10,1,128.80,1,0,0,1,1,0,43,0
38,1,43,1,9147,1,140,1,122.90,0,0,0,1,0,0,55,0
39,4,39,1,9991,1,120,1,113.90,1,0,0,1,0,0,39,0
40,1,44,1,9130,39,120,6,120,0,0,1,0,0,0,20,1
41,1,1,5,9773,1,126,1,121.10,0,0,1,1,0,0,18,0
42,1,1,2,9147,1,133,1,120.40,1,0,0,1,0,0,22,0
43,1,1,6,9500,1,103,1,100.60,1,1,0,1,0,0,22,0
44,1,17,1,9773,1,120,1,121.40,0,0,0,0,0,0,20,0
45,1,39,1,9991,1,133.10,1,109.70,0,0,0,1,0,0,29,0
46,1,17,1,9991,1,154,1,134.10,0,0,0,1,0,0,24,0
47,1,17,2,9238,1,130,1,127.60,1,0,0,1,0,0,18,0
48,1,17,6,9500,1,132,1,132.40,1,0,0,1,0,1,22,0
49,1,44,1,8014,39,130,1,133.40,0,0,0,1,0,1,21,0
50,1,1,1,9238,1,139,1,126.10,0,0,0,1,0,1,19,0
51,1,39,1,9254,1,130,1,113.50,0,0,0,1,0,1,24,0
52,1,1,1,9500,1,139,1,121.30,1,0,0,1,0,1,19,0
53,1,1,1,9773,1,127,1,121.80,1,0,0,1,0,1,20,0
54,1,1,3,9130,1,167,1,159.30,0,0,0,1,0,0,19,0
55,1,39,1,9991,1,130,1,120,0,0,0,1,0,0,27,0
56,1,1,1,9500,1,130,1,129.10,1,0,0,1,0,0,18,0
57,2,7,1,9254,3,130,1,130,0,0,0,1,0,0,39,0
58,1,39,1,9130,40,129,1,155.30,1,0,0,1,0,0,27,0
59,1,17,1,9500,1,141,1,139.80,1,0,0,1,0,0,18,0
60,1,1,3,171,1,125,1,115.20,1,0,0,1,0,0,18,0
61,1,1,2,9500,1,125,1,114.90,0,0,0,1,0,0,18,0
62,1,44,1,9238,39,130,1,131.90,0,0,0,1,0,1,21,0
63,1,17,3,171,1,133,1,126,1,0,0,1,1,1,19,0
64,1,17,1,9070,1,127,1,130.20,1,0,0,1,1,0,19,0
65,1,43,1,9070,1,116,1,120.90,0,0,0,1,1,0,24,0
66,4,42,1,9500,19,133.10,1,126,1,0,0,1,1,0,29,0
67,1,1,3,171,1,139,1,128.20,1,0,0,1,1,1,19,0
68,1,44,1,9003,39,130,1,130,1,0,0,1,1,0,23,0
69,1,1,3,9147,1,125,1,120.10,0,0,1,1,1,0,19,0
70,1,39,1,9254,1,160,1,100,0,0,0,1,1,0,26,0
71,1,17,1,9147,1,148,1,134,0,0,0,1,1,0,18,0
72,1,17,1,9500,1,150,1,130.80,0,0,0,1,1,0,24,0
