OccupationID;Occupation
.00;Student
1.00;Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers
2.00;Specialists in Intellectual and Scientific Activities
3.00;Intermediate Level Technicians and Professions
4.00;Administrative staff
5.00;Personal Services, Security and Safety Workers and Sellers
6.00;Farmers and Skilled Workers in Agriculture, Fisheries and Forestry
7.00;Skilled Workers in Industry, Construction and Craftsmen
8.00;Installation and Machine Operators and Assembly Workers
9.00;Unskilled Workers
10.00;Armed Forces Professions
90.00;Other Situation
99.00;(blank)
101.00;Armed Forces Officers
102.00;Armed Forces Sergeants
103.00;Other Armed Forces personnel
112.00;Directors of administrative and commercial services
114.00;Hotel, catering, trade and other services directors
121.00;Specialists in the physical sciences, mathematics, engineering and related techniques
122.00;Health professionals
123.00;teachers
124.00;Specialists in finance, accounting, administrative organization, public and commercial relations
125.00;Specialists in information and communication technologies (ICT)
131.00;Intermediate level science and engineering technicians and professions
132.00;Technicians and professionals, of intermediate level of health
134.00;Intermediate level technicians from legal, social, sports, cultural and similar services
135.00;Information and communication technology technicians
141.00;Office workers, secretaries in general and data processing operators
143.00;Data, accounting, statistical, financial services and registry-related operators
144.00;Other administrative support staff
151.00;personal service workers
152.00;sellers
153.00;Personal care workers and the like
154.00;Protection and security services personnel
161.00;Market-oriented farmers and skilled agricultural and animal production workers
163.00;Farmers, livestock keepers, fishermen, hunters and gatherers, subsistence
171.00;Skilled construction workers and the like, except electricians
172.00;Skilled workers in metallurgy, metalworking and similar
173.00;Skilled workers in printing, precision instrument manufacturing, jewelers, artisans and the like
174.00;Skilled workers in electricity and electronics
175.00;Workers in food processing, woodworking, clothing and other industries and crafts
181.00;Fixed plant and machine operators
182.00;assembly workers
183.00;Vehicle drivers and mobile equipment operators
191.00;cleaning workers
192.00;Unskilled workers in agriculture, animal production, fisheries and forestry
193.00;Unskilled workers in extractive industry, construction, manufacturing and transport
194.00;Meal preparation assistants
195.00;Street vendors (except food) and street service providers
