ParentDetailID;ParentID;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation
1.00;1.00;19.00;12.00;5.00;9.00
2.00;2.00;1.00;3.00;3.00;3.00
3.00;3.00;37.00;37.00;9.00;9.00
4.00;4.00;38.00;37.00;5.00;3.00
5.00;5.00;37.00;38.00;9.00;9.00
6.00;6.00;37.00;37.00;9.00;7.00
7.00;7.00;19.00;38.00;7.00;10.00
8.00;8.00;37.00;37.00;9.00;9.00
9.00;9.00;1.00;1.00;9.00;9.00
10.00;10.00;1.00;19.00;4.00;7.00
11.00;11.00;38.00;19.00;5.00;7.00
12.00;12.00;19.00;38.00;9.00;9.00
13.00;13.00;19.00;37.00;4.00;9.00
14.00;14.00;1.00;1.00;4.00;7.00
15.00;15.00;38.00;37.00;5.00;5.00
16.00;16.00;19.00;37.00;9.00;3.00
17.00;17.00;19.00;38.00;5.00;8.00
18.00;18.00;19.00;1.00;5.00;4.00
19.00;19.00;3.00;19.00;3.00;5.00
20.00;20.00;19.00;19.00;7.00;7.00
21.00;21.00;1.00;1.00;9.00;8.00
22.00;22.00;1.00;38.00;4.00;7.00
23.00;23.00;19.00;19.00;1.00;1.00
24.00;24.00;1.00;38.00;4.00;7.00
25.00;25.00;19.00;19.00;3.00;7.00
26.00;26.00;19.00;38.00;9.00;9.00
27.00;27.00;19.00;38.00;7.00;8.00
28.00;28.00;19.00;19.00;3.00;3.00
29.00;29.00;19.00;1.00;9.00;9.00
30.00;30.00;3.00;3.00;1.00;10.00
31.00;31.00;4.00;5.00;4.00;2.00
32.00;32.00;42.00;3.00;125.00;124.00
33.00;33.00;1.00;1.00;4.00;6.00
34.00;34.00;19.00;1.00;9.00;5.00
35.00;35.00;2.00;37.00;3.00;9.00
36.00;36.00;38.00;37.00;9.00;6.00
37.00;37.00;34.00;37.00;.00;.00
38.00;38.00;37.00;37.00;6.00;6.00
39.00;39.00;19.00;19.00;9.00;3.00
40.00;40.00;4.00;4.00;3.00;6.00
41.00;41.00;3.00;3.00;2.00;2.00
42.00;42.00;3.00;19.00;2.00;7.00
43.00;43.00;1.00;3.00;2.00;2.00
44.00;44.00;1.00;38.00;5.00;5.00
45.00;45.00;37.00;37.00;9.00;9.00
46.00;46.00;38.00;38.00;4.00;5.00
47.00;47.00;19.00;19.00;9.00;9.00
48.00;48.00;37.00;19.00;7.00;7.00
49.00;49.00;1.00;19.00;9.00;9.00
50.00;50.00;37.00;38.00;9.00;9.00
51.00;51.00;19.00;38.00;9.00;7.00
52.00;52.00;37.00;38.00;6.00;6.00
53.00;53.00;1.00;19.00;7.00;7.00
54.00;54.00;37.00;37.00;90.00;90.00
55.00;55.00;38.00;38.00;9.00;9.00
56.00;56.00;1.00;19.00;5.00;5.00
57.00;57.00;1.00;3.00;4.00;3.00
58.00;58.00;3.00;3.00;2.00;2.00
59.00;59.00;38.00;38.00;7.00;10.00
60.00;60.00;38.00;37.00;4.00;9.00
61.00;61.00;19.00;19.00;9.00;9.00
62.00;62.00;19.00;1.00;9.00;9.00
63.00;63.00;1.00;37.00;4.00;7.00
64.00;64.00;1.00;1.00;3.00;4.00
65.00;65.00;1.00;1.00;3.00;3.00
66.00;66.00;1.00;1.00;5.00;5.00
67.00;67.00;19.00;19.00;5.00;3.00
68.00;68.00;19.00;37.00;9.00;9.00
69.00;69.00;1.00;38.00;7.00;7.00
70.00;70.00;19.00;37.00;7.00;10.00
71.00;71.00;38.00;37.00;5.00;5.00
72.00;72.00;37.00;19.00;8.00;4.00
73.00;73.00;19.00;19.00;5.00;10.00
74.00;74.00;38.00;37.00;5.00;7.00
75.00;75.00;38.00;38.00;9.00;9.00
76.00;76.00;19.00;19.00;4.00;7.00
77.00;77.00;19.00;37.00;7.00;7.00
78.00;78.00;1.00;19.00;9.00;8.00
79.00;79.00;38.00;37.00;9.00;9.00
80.00;80.00;37.00;37.00;9.00;6.00
81.00;81.00;19.00;19.00;9.00;9.00
82.00;82.00;3.00;3.00;2.00;2.00
83.00;83.00;3.00;3.00;4.00;2.00
84.00;84.00;19.00;19.00;4.00;4.00
85.00;85.00;37.00;37.00;9.00;6.00
86.00;86.00;37.00;38.00;9.00;7.00
87.00;87.00;1.00;19.00;4.00;5.00
