StudentID;MaritalStatusID;ApplicationModeID;ApplicationOrderID;CourseID;QualificationID;QualificationGrade;NationalityID;AdmissionGrade;Displaced;EducationalSpecialNeeds;Debtor;TuitionFeesUpToDate;GenderID;ScholarshipHolder;AgeAtEnrollment;International
1.00;1.00;17.00;5.00;171.00;1.00;122.00;1.00;127.30;1.00;.00;.00;1.00;1.00;.00;20.00;.00
2.00;1.00;15.00;1.00;9,254.00;1.00;160.00;1.00;142.50;1.00;.00;.00;.00;1.00;.00;19.00;.00
3.00;1.00;1.00;5.00;9,070.00;1.00;122.00;1.00;124.80;1.00;.00;.00;.00;1.00;.00;19.00;.00
4.00;1.00;17.00;2.00;9,773.00;1.00;122.00;1.00;119.60;1.00;.00;.00;1.00;.00;.00;20.00;.00
5.00;2.00;39.00;1.00;8,014.00;1.00;100.00;1.00;141.50;.00;.00;.00;1.00;.00;.00;45.00;.00
6.00;2.00;39.00;1.00;9,991.00;19.00;133.10;1.00;114.80;.00;.00;1.00;1.00;1.00;.00;50.00;.00
7.00;1.00;1.00;1.00;9,500.00;1.00;142.00;1.00;128.40;1.00;.00;.00;1.00;.00;1.00;18.00;.00
8.00;1.00;18.00;4.00;9,254.00;1.00;119.00;1.00;113.10;1.00;.00;.00;.00;1.00;.00;22.00;.00
9.00;1.00;1.00;3.00;9,238.00;1.00;137.00;62.00;129.30;.00;.00;.00;1.00;.00;1.00;21.00;1.00
10.00;1.00;1.00;1.00;9,238.00;1.00;138.00;1.00;123.00;1.00;.00;1.00;.00;.00;.00;18.00;.00
11.00;1.00;1.00;1.00;9,670.00;1.00;139.00;1.00;130.60;1.00;.00;.00;1.00;.00;.00;18.00;.00
12.00;1.00;1.00;1.00;9,500.00;1.00;136.00;1.00;119.30;1.00;.00;.00;1.00;.00;1.00;18.00;.00
13.00;1.00;1.00;2.00;9,853.00;1.00;133.00;1.00;130.20;1.00;.00;.00;1.00;.00;.00;19.00;.00
14.00;1.00;53.00;1.00;9,254.00;42.00;110.00;1.00;111.80;1.00;.00;.00;1.00;.00;1.00;21.00;.00
15.00;1.00;1.00;1.00;9,085.00;1.00;149.00;1.00;137.10;1.00;.00;.00;1.00;.00;1.00;18.00;.00
16.00;1.00;1.00;1.00;9,773.00;1.00;127.00;1.00;120.70;1.00;.00;.00;1.00;.00;.00;20.00;.00
17.00;1.00;18.00;1.00;9,238.00;1.00;137.00;1.00;137.40;1.00;.00;.00;1.00;.00;.00;18.00;.00
18.00;1.00;17.00;2.00;9,500.00;1.00;135.00;1.00;127.30;1.00;.00;.00;1.00;.00;.00;18.00;.00
19.00;1.00;1.00;1.00;9,130.00;1.00;137.00;1.00;136.30;1.00;.00;.00;1.00;.00;.00;20.00;.00
20.00;1.00;1.00;1.00;9,853.00;1.00;140.00;1.00;124.60;1.00;.00;.00;1.00;.00;.00;18.00;.00
21.00;1.00;1.00;3.00;171.00;1.00;122.00;1.00;120.30;.00;.00;.00;1.00;.00;1.00;21.00;.00
22.00;1.00;18.00;4.00;9,556.00;1.00;127.00;1.00;121.80;1.00;.00;.00;1.00;.00;.00;20.00;.00
23.00;1.00;1.00;4.00;9,500.00;1.00;142.00;1.00;125.50;1.00;.00;.00;1.00;.00;.00;18.00;.00
24.00;1.00;1.00;4.00;9,670.00;1.00;125.00;1.00;114.90;1.00;.00;.00;1.00;.00;1.00;19.00;.00
25.00;1.00;1.00;1.00;9,500.00;1.00;126.00;1.00;123.90;.00;.00;.00;1.00;.00;.00;19.00;.00
26.00;1.00;1.00;1.00;9,238.00;1.00;151.00;1.00;157.00;1.00;.00;1.00;1.00;.00;1.00;18.00;.00
27.00;1.00;17.00;2.00;9,238.00;1.00;115.00;1.00;116.40;1.00;.00;.00;1.00;.00;.00;21.00;.00
