TargetID;StudentID;Target
1.00;1.00;Dropout
2.00;2.00;Graduate
3.00;3.00;Dropout
4.00;4.00;Graduate
5.00;5.00;Graduate
6.00;6.00;Graduate
7.00;7.00;Graduate
8.00;8.00;Dropout
9.00;9.00;Graduate
10.00;10.00;Dropout
11.00;11.00;Graduate
12.00;12.00;Graduate
13.00;13.00;Dropout
14.00;14.00;Graduate
15.00;15.00;Graduate
16.00;16.00;Dropout
17.00;17.00;Enrolled
18.00;18.00;Graduate
19.00;19.00;Graduate
20.00;20.00;Enrolled
21.00;21.00;Graduate
22.00;22.00;Enrolled
23.00;23.00;Graduate
24.00;24.00;Graduate
25.00;25.00;Graduate
26.00;26.00;Enrolled
27.00;27.00;Graduate
28.00;28.00;Enrolled
29.00;29.00;Graduate
30.00;30.00;Enrolled
31.00;31.00;Enrolled
32.00;32.00;Graduate
33.00;33.00;Enrolled
34.00;34.00;Graduate
35.00;35.00;Graduate
36.00;36.00;Dropout
37.00;37.00;Dropout
38.00;38.00;Dropout
39.00;39.00;Graduate
40.00;40.00;Dropout
41.00;41.00;Dropout
42.00;42.00;Graduate
43.00;43.00;Graduate
44.00;44.00;Dropout
45.00;45.00;Dropout
46.00;46.00;Enrolled
47.00;47.00;Graduate
48.00;48.00;Graduate
49.00;49.00;Graduate
50.00;50.00;Graduate
51.00;51.00;Graduate
52.00;52.00;Enrolled
53.00;53.00;Enrolled
54.00;54.00;Graduate
55.00;55.00;Dropout
56.00;56.00;Graduate
57.00;57.00;Dropout
58.00;58.00;Dropout
59.00;59.00;Graduate
60.00;60.00;Enrolled
61.00;61.00;Graduate
62.00;62.00;Graduate
63.00;63.00;Enrolled
64.00;64.00;Enrolled
65.00;65.00;Enrolled
66.00;66.00;Dropout
67.00;67.00;Graduate
68.00;68.00;Graduate
69.00;69.00;Dropout
70.00;70.00;Enrolled
71.00;71.00;Enrolled
72.00;72.00;Graduate
73.00;73.00;Dropout
74.00;74.00;Dropout
75.00;75.00;Graduate
76.00;76.00;Dropout
77.00;77.00;Dropout
78.00;78.00;Graduate
79.00;79.00;Graduate
80.00;80.00;Graduate
81.00;81.00;Dropout
82.00;82.00;Dropout
83.00;83.00;Dropout
84.00;84.00;Enrolled
85.00;85.00;Graduate
86.00;86.00;Graduate
87.00;87.00;Graduate
88.00;88.00;Graduate
89.00;89.00;Enrolled
90.00;90.00;Enrolled
91.00;91.00;Dropout
92.00;92.00;Graduate
93.00;93.00;Dropout
94.00;94.00;Dropout
95.00;95.00;Graduate
96.00;96.00;Enrolled
97.00;97.00;Graduate
98.00;98.00;Graduate
99.00;99.00;Enrolled
